#adjectives_kung_fu_panda_comented (1)||
"<p>Po felt <span class="remover">scared</span> when he realized he had to save them.</p>"|1|0_1NU60qHWs
"<p>Tigress thought she was <span class="remover">capable</span> of fighting.</p>"|2|0_1NU60qHWs
"<p>Shifu wanted Po to be <span class="remover">serious</span> about his role.</p>"|3|0_1NU60qHWs
"<p>Their laughter was <span class="remover">loud</span>.</p>"|4|0_1NU60qHWs
"<p>Po was <span class="remover">funny</span> when he made the impression.</p>"|5|0_1NU60qHWs
"<p>The warriors thought Po was not <span class="remover">ready</span> for the battle.</p>"|6|0_1NU60qHWs
"<p>Po runs <span class="remover">fast</span> through the field.</p>"|7|0_1NU60qHWs
"<p>Mantis is small and <span class="remover">green</span>.</p>"|8|0_1NU60qHWs
"<p>The food Po cooked was <span class="remover">delicious</span>.</p>"|9|0_1NU60qHWs
#aladdin||
"<p>Aladdin <span class="remover">must</span> fight for his love.</p>"|1|Cgp644Walyk
"<p>Genie, <span class="remover">could</span> you please grant me this wish?</p>"|2|DNHmujbuC74
"<p>Don´t ask for the wrong wish, or you <span class="remover">might</span> end like the other guy.</p>"|3|DNHmujbuC74
"<p>The Genie can <span class="remover">grant</span> people wishes.</p>"|4|DNHmujbuC74
"<p>Aladdin thought he <span class="remover">would</span> become a prince.</p>"|5|DNHmujbuC74
"<p>The Genie <span class="remover">must</span> help Aladdin, because he´s a good man.</p>"|6|DNHmujbuC74
#Barry_SimPre||
"<p>Barry <span class="remover">is</span> on the phone. </p>"|1|1CZ7mBSLH1c
"<p>They <span class="remover">are</span> at the graduation. </p>"|2|1CZ7mBSLH1c
"<p>She <span class="remover">is</span> Barry´s mom.</p>"|3|1CZ7mBSLH1c
"<p>We <span class="remover">are</span> not in the funeral. </p>"|4|1CZ7mBSLH1c
"<p>You <span class="remover">are</span> not in the Honex Industries</p>"|5|1CZ7mBSLH1c
"<p>He <span class="remover">is</span> not in a yellow black sweeter .</p>"|6|1CZ7mBSLH1c
#como_entrenar_a_tu_dragon_1 (1)||
"<p>Astrid <span class="remover">has trained</span> to be a great Viking. </p>"|1|cfaJ_1deY8M
"<p>Gobber <span class="remover">has taught</span> Hiccup smithy to Hiccup.</p>"|2|JcMtWwiyzpU
"<p>Toothless and Hiccup <span class="remover">have been</span> good friends for too long.</p>"|3|JcMtWwiyzpU
"<p>Astoic <span class="remover">has led</span> the Viking for years.</p>"|4|JcMtWwiyzpU
"<p>Astrid and Hiccup <span class="remover">have flown</span> on Toothless.</p>"|5|JcMtWwiyzpU
"<p>Vikings <span class="remover">have hunted</span> dragons.</p>"|6|JcMtWwiyzpU
"<p>Hiccup <span class="remover">has shown</span> Vikings dragon are good.(</p>"|7|JcMtWwiyzpU
"<p>Astoic and Gobber <span class="remover">have planned</span> a strategy versus dragons.</p>"|8|JcMtWwiyzpU
#Comparative1_-_supercafe corregido||
"<p>Mario is <span class="remover">shorter</span>  than Paulina </p>"|1|J3vDtZeo1YQ
"<p>Superman is <span class="remover">taller</span> than Mario. </p>"|2|J3vDtZeo1YQ
"<p>Gotham is <span class="remover">bigger</span> than Metropolis.</p>"|3|J3vDtZeo1YQ
"<p>Bruce Wayne has got <span class="remover">shorter</span> hair than Clark. </p>"|4|J3vDtZeo1YQ
"<p>Batman  is <span class="remover">more old</span>  than robin. </p>"|5|J3vDtZeo1YQ
"<p>Bruce´s mansion  is <span class="remover">nicer</span> than Clark´s farm. </p>"|6|J3vDtZeo1YQ
"<p>Chemistry is <span class="remover">harder</span> than English. </p>"|7|J3vDtZeo1YQ
"<p>Louisa  has <span class="remover">longer</span> hair than Clark. </p>"|8|J3vDtZeo1YQ
"<p>This exercise is <span class="remover">easier</span>  than the previous one.</p>"|9|J3vDtZeo1YQ
"<p>This video is <span class="remover">funnier</span> than others .</p>"|10|J3vDtZeo1YQ
#conditional_0 (1)||
"<p>Water boils when <span class="remover">you heat it</span>.</p>"|1|zBnKgwnn7i4
"<p>If you mix red and white, <span class="remover">you get pink</span>.</p>"|2|zBnKgwnn7i5
"<p><span class="remover">An ice cream melts</span> if you leave it in the sun.</p>"|3|zBnKgwnn7i6
