pregunta|id
#adjectives_kung_fu_panda_comented (1)|
What is your favorite animal?Why?|0_1NU60qHWs
What qualities should a warrior have?|0_1NU60qHWs
What animal would make a good warrior?Why?|0_1NU60qHWs
If you could design an animal, how would it be?|0_1NU60qHWs
#adjectives_trolls_corrected|
How would you describe the city you live in?|DNHmujbuC74
What’s something you like about your favorite movie?|DNHmujbuC74
Have you had a pet? In what way is it special?|DNHmujbuC74
How would your personal palace be?|DNHmujbuC74
#adverbs_pf_frequency_1_dragon_ball#g9WDeud275U|
How often do you go on vacation?|g9WDeud275U
How often do you go visit you grandparents on vacation?|g9WDeud275U
How often do you stay at home on vacation?|g9WDeud275U
How often do you travel abroad?|g9WDeud275U
#aladdin|
Do you believe Genies exist?|Cgp644Walyk
Would you like to be a genie?|Cgp644Walyk
Do you think princesses should only marry princes?|Cgp644Walyk
Do you believe some people can perform magical acts?|Cgp644Walyk
#Aladdin_imperatives (7)|
If you had a magic lamp and you could ask 3 wishes, what would you wish?|JcMtWwiyzpU
What is needed to be a prince or princess?|JcMtWwiyzpU
Which are the order or instructions you usually receive at home?|JcMtWwiyzpU
Which are the order or instructions you usually receive at school?|JcMtWwiyzpU
#Alan_Turin(1) (1)|
Why are computers important?|41G7oY_qyw4
How can our life be without computers?|41G7oY_qyw4
How does computer make our life easier?|41G7oY_qyw4
What other inventions do we stll use and how was their inventor?|41G7oY_qyw4
#Barry_SimPre|
What would you do in your graduation day?|1CZ7mBSLH1c
Do you tink the life of a bee is boring?_Why?|1CZ7mBSLH1c
Do you wish that your school time was like Barry´s one?_Why?|1CZ7mBSLH1c
How was your last graduation?|1CZ7mBSLH1c
#can(1)(1)|
What languages can you speak?|s19Fr-_WaXo
How can you concentrate?|s19Fr-_WaXo
What music do you prefer to listen to when you are exercising?|s19Fr-_WaXo
How can you create a musical instrument?|s19Fr-_WaXo
What can make you feel happy?|s19Fr-_WaXo
When can you listen to your favorite song?|s19Fr-_WaXo
#can-_superman (1)|
Can you use your phone in class? Why?|9B6DMShBV6k
Can you spend many hours without your phone?|9B6DMShBV6k
How can your phone help you to improve your English?|9B6DMShBV6k
Where can you buy a good phone?|9B6DMShBV6k
#como_entrenar_a_tu_dragon_1 (1)|
What is your favorite dragon from the video?|cfaJ_1deY8M
Why did Vikings think dragons were pests?|cfaJ_1deY8M
What has Hiccup done to change that opinion?|cfaJ_1deY8M
Describe a perfect dragon for you.|cfaJ_1deY8M
#Comparative1_-_supercafe corregido|
Are there any real super heroes?|J3vDtZeo1YQ
If you had super powers would you be a super hero or a super villain?|J3vDtZeo1YQ
What is your favorite super hero movie?|J3vDtZeo1YQ
How can you be a superhero at you school or home?|J3vDtZeo1YQ
#conditional_0 (1)#no tiene actividad|
#experiments|
Why is  science important?|7-BYKKtXCGU
Do you usually make experiments at home?|7-BYKKtXCGU
Which experiment did you like the most?_Why?|7-BYKKtXCGU
What experiments do you know?|7-BYKKtXCGU
#ferdinand_demostratives|
What is near from you?|4eaITAbJ7YM
What is far from you?|4eaITAbJ7YM
Do you like dancing?|4eaITAbJ7YM
What can you dance?|4eaITAbJ7YM
#Finding_Nemo_indefinite_pronouns|
Lost something recently.|udbUNzL7odo
Went somewhere interesting last week. Like the sea.|udbUNzL7odo
Thinks everybody should do more for the sea animals.|udbUNzL7odo
Knows someone who lost in the supermarket or beach.|udbUNzL7odo
#Friends_Conditional|
What would you do if you had 3 wishes?|MEximmbljgY
Why do you think that Joey didn't understood the word?|MEximmbljgY
Do you ever wanted to had a power? Why?|MEximmbljgY
How would you answer?|MEximmbljgY
#harry_potter_3brothersstory_|
Do you believe in magic?|aJSh1zkPEvc
